Identificador;Fecha_reg;Temporada;Año;Mes;Hora;Feriado;Dia laborable;Jornada laboral;Tipo_clima;Temperatura °C;Sensación Termica °C;Humedad;Velocidad de Viento km/h;No registrados;Registrados;Cant_bici_rentadas
38;2/01/2011;1;0;1;14;0;0;0;3;0.36;0.3485;0.76;0.194;4;55;59
39;2/01/2011;1;0;1;15;0;0;0;3;0.34;0.3333;0.81;0.1642;19;55;74
40;2/01/2011;1;0;1;16;0;0;0;3;0.34;0.3333;0.71;0.1642;9;67;76
41;2/01/2011;1;0;1;17;0;0;0;1;0.34;0.3333;0.57;0.194;7;58;65
42;2/01/2011;1;0;1;18;0;0;0;2;0.36;0.3333;0.46;0.3284;10;43;53
43;2/01/2011;1;0;1;19;0;0;0;1;0.32;0.2879;0.42;0.4478;1;29;30
44;2/01/2011;1;0;1;20;0;0;0;1;0.3;0.2727;0.39;0.3582;5;17;22
45;2/01/2011;1;0;1;21;0;0;0;1;0.26;0.2273;0.44;0.3284;11;20;31
46;2/01/2011;1;0;1;22;0;0;0;1;0.24;0.2121;0.44;0.2985;0;9;9
47;2/01/2011;1;0;1;23;0;0;0;1;0.22;0.2273;0.47;0.1642;0;8;8
48;3/01/2011;1;0;1;0;0;1;1;1;0.22;0.197;0.44;0.3582;0;5;5
49;3/01/2011;1;0;1;1;0;1;1;1;0.2;0.1667;0.44;0.4179;0;2;2
50;3/01/2011;1;0;1;4;0;1;1;1;0.16;0.1364;0.47;0.3881;0;1;1
51;3/01/2011;1;0;1;5;0;1;1;1;0.16;0.1364;0.47;0.2836;0;3;3
52;3/01/2011;1;0;1;6;0;1;1;1;0.14;0.1061;0.5;0.3881;0;30;30
53;3/01/2011;1;0;1;7;0;1;1;1;0.14;0.1364;0.5;0.194;1;63;64
54;3/01/2011;1;0;1;8;0;1;1;1;0.14;0.1212;0.5;0.2836;1;153;154
55;3/01/2011;1;0;1;9;0;1;1;1;0.16;0.1364;0.43;0.3881;7;81;88
56;3/01/2011;1;0;1;10;0;1;1;1;0.18;0.1667;0.43;0.2537;11;33;44
57;3/01/2011;1;0;1;11;0;1;1;1;0.2;0.1818;0.4;0.3284;10;41;51
58;3/01/2011;1;0;1;12;0;1;1;1;0.22;0.2121;0.35;0.2985;13;48;61
59;3/01/2011;1;0;1;13;0;1;1;1;0.24;0.2121;0.35;0.2836;8;53;61
60;3/01/2011;1;0;1;14;0;1;1;1;0.26;0.2424;0.3;0.2836;11;66;77
61;3/01/2011;1;0;1;15;0;1;1;1;0.26;0.2424;0.3;0.2537;14;58;72
62;3/01/2011;1;0;1;16;0;1;1;1;0.26;0.2424;0.3;0.2537;9;67;76
63;3/01/2011;1;0;1;17;0;1;1;1;0.24;0.2273;0.3;0.2239;11;146;157
64;3/01/2011;1;0;1;18;0;1;1;1;0.24;0.2576;0.32;0.1045;9;148;157
65;3/01/2011;1;0;1;19;0;1;1;1;0.2;0.2576;0.47;0;8;102;110
66;3/01/2011;1;0;1;20;0;1;1;1;0.2;0.2273;0.47;0.1045;3;49;52
67;3/01/2011;1;0;1;21;0;1;1;1;0.18;0.197;0.64;0.1343;3;49;52
68;3/01/2011;1;0;1;22;0;1;1;1;0.14;0.1515;0.69;0.1343;0;20;20
69;3/01/2011;1;0;1;23;0;1;1;1;0.18;0.2121;0.55;0.1045;1;11;12
70;4/01/2011;1;0;1;0;0;2;1;1;0.16;0.1818;0.55;0.1045;0;5;5
71;4/01/2011;1;0;1;1;0;2;1;1;0.16;0.1818;0.59;0.1045;0;2;2
72;4/01/2011;1;0;1;2;0;2;1;1;0.14;0.1515;0.63;0.1343;0;1;1
73;4/01/2011;1;0;1;4;0;2;1;1;0.14;0.1818;0.63;0.0896;0;2;2
74;4/01/2011;1;0;1;5;0;2;1;1;0.12;0.1515;0.68;0.1045;0;4;4
75;4/01/2011;1;0;1;6;0;2;1;1;0.12;0.1515;0.74;0.1045;0;36;36
76;4/01/2011;1;0;1;7;0;2;1;1;0.12;0.1515;0.74;0.1343;2;92;94
77;4/01/2011;1;0;1;8;0;2;1;1;0.14;0.1515;0.69;0.1642;2;177;179
78;4/01/2011;1;0;1;9;0;2;1;1;0.16;0.1515;0.64;0.2239;2;98;100
79;4/01/2011;1;0;1;10;0;2;1;2;0.16;0.1364;0.69;0.3284;5;37;42
80;4/01/2011;1;0;1;11;0;2;1;1;0.22;0.2121;0.51;0.2985;7;50;57
81;4/01/2011;1;0;1;12;0;2;1;1;0.22;0.2273;0.51;0.1642;12;66;78
82;4/01/2011;1;0;1;13;0;2;1;1;0.24;0.2273;0.56;0.194;18;79;97
83;4/01/2011;1;0;1;14;0;2;1;1;0.26;0.2576;0.52;0.2239;9;54;63
84;4/01/2011;1;0;1;15;0;2;1;1;0.28;0.2727;0.52;0.2537;17;48;65
85;4/01/2011;1;0;1;16;0;2;1;1;0.3;0.2879;0.49;0.2537;15;68;83
86;4/01/2011;1;0;1;17;0;2;1;1;0.28;0.2727;0.48;0.2239;10;202;212
87;4/01/2011;1;0;1;18;0;2;1;1;0.26;0.2576;0.48;0.194;3;179;182
88;4/01/2011;1;0;1;19;0;2;1;1;0.24;0.2576;0.48;0.1045;2;110;112
89;4/01/2011;1;0;1;20;0;2;1;1;0.24;0.2576;0.48;0.1045;1;53;54
90;4/01/2011;1;0;1;21;0;2;1;1;0.22;0.2727;0.64;0;0;48;48
91;4/01/2011;1;0;1;22;0;2;1;1;0.22;0.2576;0.64;0.0896;1;34;35
92;4/01/2011;1;0;1;23;0;2;1;1;0.2;0.2273;0.69;0.0896;2;9;11
93;5/01/2011;1;0;1;0;0;3;1;1;0.2;0.2576;0.64;0;0;6;6
94;5/01/2011;1;0;1;1;0;3;1;1;0.16;0.197;0.74;0.0896;0;6;6
95;5/01/2011;1;0;1;2;0;3;1;1;0.16;0.197;0.74;0.0896;0;2;2
96;5/01/2011;1;0;1;4;0;3;1;1;0.24;0.2273;0.48;0.2239;0;2;2
97;5/01/2011;1;0;1;5;0;3;1;1;0.22;0.2273;0.47;0.1642;0;3;3
98;5/01/2011;1;0;1;6;0;3;1;1;0.2;0.197;0.47;0.2239;0;33;33
99;5/01/2011;1;0;1;7;0;3;1;1;0.18;0.1818;0.43;0.194;1;87;88
100;5/01/2011;1;0;1;8;0;3;1;1;0.2;0.1818;0.4;0.2985;3;192;195
101;5/01/2011;1;0;1;9;0;3;1;1;0.22;0.197;0.37;0.3284;6;109;115
102;5/01/2011;1;0;1;10;0;3;1;1;0.22;0.197;0.37;0.3284;4;53;57
103;5/01/2011;1;0;1;11;0;3;1;1;0.26;0.2273;0.33;0.3284;12;34;46
104;5/01/2011;1;0;1;12;0;3;1;1;0.26;0.2273;0.33;0.3284;5;74;79
105;5/01/2011;1;0;1;13;0;3;1;1;0.28;0.2576;0.3;0.2985;6;65;71
106;5/01/2011;1;0;1;14;0;3;1;1;0.3;0.2879;0.28;0.194;10;52;62
107;5/01/2011;1;0;1;15;0;3;1;1;0.3;0.2879;0.28;0.194;7;55;62
108;5/01/2011;1;0;1;16;0;3;1;1;0.3;0.3182;0.28;0.0896;4;85;89
109;5/01/2011;1;0;1;17;0;3;1;1;0.24;0.2273;0.38;0.194;4;186;190
110;5/01/2011;1;0;1;18;0;3;1;1;0.24;0.2424;0.38;0.1343;3;166;169
111;5/01/2011;1;0;1;19;0;3;1;1;0.24;0.2576;0.38;0.1045;5;127;132
112;5/01/2011;1;0;1;20;0;3;1;1;0.22;0.2273;0.47;0.1642;7;82;89
113;5/01/2011;1;0;1;21;0;3;1;1;0.2;0.197;0.51;0.194;3;40;43
114;5/01/2011;1;0;1;22;0;3;1;1;0.18;0.197;0.55;0.1343;1;41;42
115;5/01/2011;1;0;1;23;0;3;1;1;0.2;0.2576;0.47;0;1;18;19
116;6/01/2011;1;0;1;0;0;4;1;1;0.18;0.2424;0.55;0;0;11;11
117;6/01/2011;1;0;1;1;0;4;1;1;0.16;0.2273;0.64;0;0;4;4
118;6/01/2011;1;0;1;2;0;4;1;1;0.16;0.2273;0.64;0;0;2;2
119;6/01/2011;1;0;1;4;0;4;1;2;0.16;0.197;0.64;0.0896;0;1;1
120;6/01/2011;1;0;1;5;0;4;1;2;0.14;0.1818;0.69;0.0896;0;4;4
121;6/01/2011;1;0;1;6;0;4;1;2;0.14;0.1667;0.63;0.1045;0;36;36
122;6/01/2011;1;0;1;7;0;4;1;2;0.16;0.2273;0.59;0;0;95;95
123;6/01/2011;1;0;1;8;0;4;1;1;0.16;0.2273;0.59;0;3;216;219
124;6/01/2011;1;0;1;9;0;4;1;2;0.18;0.2424;0.51;0;6;116;122
125;6/01/2011;1;0;1;10;0;4;1;1;0.2;0.2576;0.47;0;3;42;45
126;6/01/2011;1;0;1;11;0;4;1;1;0.22;0.2576;0.44;0.0896;2;57;59
127;6/01/2011;1;0;1;12;0;4;1;1;0.26;0.2879;0.35;0;6;78;84
128;6/01/2011;1;0;1;13;0;4;1;1;0.26;0.2727;0.35;0.1045;12;55;67
129;6/01/2011;1;0;1;14;0;4;1;1;0.28;0.2727;0.36;0.1642;11;59;70
130;6/01/2011;1;0;1;15;0;4;1;1;0.28;0.2727;0.36;0;8;54;62
131;6/01/2011;1;0;1;16;0;4;1;1;0.26;0.2576;0.38;0.1642;12;74;86
132;6/01/2011;1;0;1;17;0;4;1;1;0.22;0.2273;0.51;0.1642;9;163;172
133;6/01/2011;1;0;1;18;0;4;1;1;0.22;0.2273;0.51;0.1343;5;158;163
134;6/01/2011;1;0;1;19;0;4;1;1;0.22;0.2576;0.55;0.0896;3;109;112
135;6/01/2011;1;0;1;20;0;4;1;1;0.2;0.2121;0.51;0.1642;3;66;69
136;6/01/2011;1;0;1;21;0;4;1;2;0.22;0.2121;0.55;0.2239;0;48;48
137;6/01/2011;1;0;1;22;0;4;1;2;0.22;0.2121;0.51;0.2836;1;51;52
138;6/01/2011;1;0;1;23;0;4;1;2;0.2;0.197;0.59;0.194;4;19;23
139;7/01/2011;1;0;1;0;0;5;1;2;0.2;0.197;0.64;0.194;4;13;17
140;7/01/2011;1;0;1;1;0;5;1;2;0.2;0.197;0.69;0.2239;2;5;7
141;7/01/2011;1;0;1;2;0;5;1;2;0.2;0.197;0.69;0.2239;0;1;1
142;7/01/2011;1;0;1;4;0;5;1;2;0.2;0.2121;0.69;0.1343;0;1;1
143;7/01/2011;1;0;1;5;0;5;1;3;0.22;0.2727;0.55;0;0;5;5
144;7/01/2011;1;0;1;6;0;5;1;2;0.2;0.2576;0.69;0;8;26;34
145;7/01/2011;1;0;1;7;0;5;1;1;0.2;0.2121;0.69;0.1343;8;76;84
146;7/01/2011;1;0;1;8;0;5;1;1;0.2;0.197;0.51;0.2537;20;190;210
147;7/01/2011;1;0;1;9;0;5;1;1;0.2;0.1818;0.47;0.2985;9;125;134
148;7/01/2011;1;0;1;10;0;5;1;1;0.22;0.197;0.37;0.3284;16;47;63
149;7/01/2011;1;0;1;11;0;5;1;2;0.2;0.197;0.4;0.2239;19;48;67
150;7/01/2011;1;0;1;12;0;5;1;2;0.2;0.197;0.37;0.2537;9;50;59
151;7/01/2011;1;0;1;13;0;5;1;2;0.2;0.1818;0.37;0.2836;9;64;73
152;7/01/2011;1;0;1;14;0;5;1;2;0.2;0.197;0.4;0.2537;7;43;50
153;7/01/2011;1;0;1;15;0;5;1;2;0.2;0.2121;0.37;0.1642;9;63;72
154;7/01/2011;1;0;1;16;0;5;1;2;0.2;0.2121;0.37;0.1642;5;82;87
155;7/01/2011;1;0;1;17;0;5;1;2;0.2;0.2576;0.37;0;9;178;187
156;7/01/2011;1;0;1;18;0;5;1;1;0.2;0.2273;0.4;0.0896;7;116;123
157;7/01/2011;1;0;1;19;0;5;1;1;0.16;0.197;0.55;0.0896;3;92;95
158;7/01/2011;1;0;1;20;0;5;1;1;0.18;0.2121;0.47;0.1045;1;50;51
159;7/01/2011;1;0;1;21;0;5;1;1;0.18;0.197;0.47;0.1343;0;39;39
160;7/01/2011;1;0;1;22;0;5;1;2;0.18;0.197;0.43;0.1642;2;34;36
161;7/01/2011;1;0;1;23;0;5;1;2;0.18;0.197;0.51;0.1642;1;14;15
162;8/01/2011;1;0;1;0;0;6;0;2;0.18;0.197;0.51;0.1642;1;24;25
163;8/01/2011;1;0;1;1;0;6;0;2;0.18;0.2121;0.55;0.0896;1;15;16
164;8/01/2011;1;0;1;2;0;6;0;2;0.18;0.2424;0.55;0;3;13;16
165;8/01/2011;1;0;1;3;0;6;0;3;0.18;0.197;0.55;0.1642;0;7;7
166;8/01/2011;1;0;1;4;0;6;0;3;0.18;0.197;0.55;0.1642;0;1;1
167;8/01/2011;1;0;1;5;0;6;0;2;0.16;0.1667;0.74;0.1642;0;5;5
168;8/01/2011;1;0;1;6;0;6;0;2;0.16;0.1667;0.74;0.1642;0;2;2
169;8/01/2011;1;0;1;7;0;6;0;2;0.16;0.1818;0.74;0.1045;1;8;9
170;8/01/2011;1;0;1;8;0;6;0;3;0.16;0.1818;0.93;0.1045;0;15;15
171;8/01/2011;1;0;1;9;0;6;0;3;0.16;0.1818;0.93;0.1045;0;20;20
172;8/01/2011;1;0;1;10;0;6;0;2;0.18;0.197;0.8;0.1642;5;56;61
173;8/01/2011;1;0;1;11;0;6;0;2;0.2;0.1818;0.69;0.3881;2;60;62
174;8/01/2011;1;0;1;12;0;6;0;2;0.2;0.1818;0.59;0.3582;8;90;98
175;8/01/2011;1;0;1;13;0;6;0;1;0.2;0.1818;0.44;0.3284;7;95;102
176;8/01/2011;1;0;1;14;0;6;0;1;0.2;0.1667;0.32;0.4925;12;83;95
177;8/01/2011;1;0;1;15;0;6;0;1;0.2;0.1667;0.32;0.4478;5;69;74
178;8/01/2011;1;0;1;16;0;6;0;1;0.18;0.1364;0.29;0.4478;8;68;76
179;8/01/2011;1;0;1;17;0;6;0;1;0.16;0.1212;0.37;0.5522;5;64;69
180;8/01/2011;1;0;1;18;0;6;0;1;0.14;0.1212;0.39;0.2985;3;52;55
181;8/01/2011;1;0;1;19;0;6;0;1;0.14;0.1212;0.36;0.2537;4;26;30
182;8/01/2011;1;0;1;20;0;6;0;1;0.12;0.1212;0.36;0.2537;0;28;28
183;8/01/2011;1;0;1;21;0;6;0;1;0.12;0.1061;0.39;0.3582;2;35;37
184;8/01/2011;1;0;1;22;0;6;0;1;0.12;0.1061;0.36;0.3881;1;33;34
185;8/01/2011;1;0;1;23;0;6;0;1;0.1;0.0606;0.39;0.4478;0;22;22
186;9/01/2011;1;0;1;0;0;0;0;1;0.1;0.0758;0.42;0.3881;1;24;25
187;9/01/2011;1;0;1;1;0;0;0;1;0.1;0.0606;0.42;0.4627;0;12;12
188;9/01/2011;1;0;1;2;0;0;0;1;0.1;0.0606;0.46;0.4627;0;11;11
189;9/01/2011;1;0;1;3;0;0;0;1;0.1;0.0758;0.46;0.4179;0;4;4
190;9/01/2011;1;0;1;4;0;0;0;1;0.08;0.0909;0.53;0.194;0;1;1
191;9/01/2011;1;0;1;5;0;0;0;1;0.08;0.0909;0.53;0.194;0;1;1
192;9/01/2011;1;0;1;6;0;0;0;1;0.1;0.0909;0.49;0.2836;0;1;1
193;9/01/2011;1;0;1;7;0;0;0;1;0.08;0.0909;0.53;0.194;1;5;6
194;9/01/2011;1;0;1;8;0;0;0;1;0.1;0.0909;0.49;0.2836;0;10;10
195;9/01/2011;1;0;1;9;0;0;0;1;0.12;0.0758;0.46;0.5224;0;19;19
196;9/01/2011;1;0;1;10;0;0;0;1;0.14;0.1061;0.43;0.3881;0;49;49
197;9/01/2011;1;0;1;11;0;0;0;1;0.16;0.1212;0.4;0.5224;2;47;49
198;9/01/2011;1;0;1;12;0;0;0;1;0.18;0.1364;0.37;0.4478;4;79;83
199;9/01/2011;1;0;1;13;0;0;0;1;0.2;0.1667;0.34;0.4478;6;69;75
200;9/01/2011;1;0;1;14;0;0;0;1;0.22;0.1818;0.32;0.4627;8;64;72
201;9/01/2011;1;0;1;15;0;0;0;1;0.22;0.197;0.35;0.3582;5;77;82
202;9/01/2011;1;0;1;16;0;0;0;1;0.2;0.1667;0.34;0.4478;13;79;92
203;9/01/2011;1;0;1;17;0;0;0;1;0.18;0.1515;0.37;0.3881;3;59;62
204;9/01/2011;1;0;1;18;0;0;0;1;0.16;0.1364;0.4;0.3284;4;44;48
205;9/01/2011;1;0;1;19;0;0;0;1;0.16;0.1364;0.43;0.3284;1;40;41
206;9/01/2011;1;0;1;20;0;0;0;1;0.14;0.1212;0.46;0.2537;0;38;38
207;9/01/2011;1;0;1;21;0;0;0;1;0.14;0.1061;0.46;0.4179;1;19;20
208;9/01/2011;1;0;1;22;0;0;0;1;0.14;0.1212;0.46;0.2985;5;10;15
209;9/01/2011;1;0;1;23;0;0;0;1;0.12;0.1364;0.5;0.194;0;6;6
210;10/01/2011;1;0;1;0;0;1;1;1;0.12;0.1212;0.5;0.2836;2;3;5
211;10/01/2011;1;0;1;1;0;1;1;1;0.12;0.1212;0.5;0.2836;1;0;1
212;10/01/2011;1;0;1;2;0;1;1;1;0.12;0.1212;0.5;0.2239;0;3;3
213;10/01/2011;1;0;1;3;0;1;1;1;0.12;0.1212;0.5;0.2239;0;1;1
214;10/01/2011;1;0;1;4;0;1;1;1;0.1;0.1212;0.54;0.1343;1;2;3
215;10/01/2011;1;0;1;5;0;1;1;1;0.1;0.1061;0.54;0.2537;0;3;3
216;10/01/2011;1;0;1;6;0;1;1;1;0.12;0.1212;0.5;0.2836;0;31;31
217;10/01/2011;1;0;1;7;0;1;1;1;0.12;0.1212;0.5;0.2239;2;75;77
218;10/01/2011;1;0;1;8;0;1;1;2;0.12;0.1212;0.5;0.2836;4;184;188
219;10/01/2011;1;0;1;9;0;1;1;2;0.14;0.1212;0.5;0.2537;2;92;94
220;10/01/2011;1;0;1;10;0;1;1;2;0.14;0.1212;0.5;0.2985;0;31;31
221;10/01/2011;1;0;1;11;0;1;1;2;0.16;0.1364;0.47;0.2836;2;28;30
222;10/01/2011;1;0;1;12;0;1;1;2;0.2;0.1818;0.4;0.2836;5;47;52
223;10/01/2011;1;0;1;13;0;1;1;2;0.2;0.1818;0.4;0.2836;4;50;54
224;10/01/2011;1;0;1;14;0;1;1;2;0.2;0.197;0.4;0.2239;0;47;47
225;10/01/2011;1;0;1;15;0;1;1;2;0.2;0.197;0.4;0.2239;2;43;45
226;10/01/2011;1;0;1;16;0;1;1;1;0.2;0.2121;0.4;0.1343;4;70;74
227;10/01/2011;1;0;1;17;0;1;1;1;0.2;0.2273;0.4;0.1045;4;174;178
228;10/01/2011;1;0;1;18;0;1;1;1;0.2;0.197;0.4;0.2239;1;154;155
229;10/01/2011;1;0;1;19;0;1;1;1;0.16;0.1667;0.47;0.1642;3;92;95
230;10/01/2011;1;0;1;20;0;1;1;1;0.16;0.1667;0.5;0.1642;1;73;74
231;10/01/2011;1;0;1;21;0;1;1;1;0.14;0.1364;0.59;0.194;1;37;38
232;10/01/2011;1;0;1;22;0;1;1;1;0.14;0.1515;0.59;0.1642;2;22;24
233;10/01/2011;1;0;1;23;0;1;1;1;0.14;0.1515;0.59;0.1642;0;18;18
234;11/01/2011;1;0;1;0;0;2;1;1;0.14;0.1667;0.59;0.1045;2;10;12
235;11/01/2011;1;0;1;1;0;2;1;1;0.14;0.1515;0.59;0.1642;0;3;3
236;11/01/2011;1;0;1;2;0;2;1;2;0.16;0.1515;0.55;0.194;0;3;3
237;11/01/2011;1;0;1;5;0;2;1;2;0.16;0.1818;0.55;0.1343;0;6;6
238;11/01/2011;1;0;1;6;0;2;1;2;0.16;0.1818;0.55;0.1343;0;27;27
239;11/01/2011;1;0;1;7;0;2;1;2;0.16;0.2273;0.55;0;2;97;99
240;11/01/2011;1;0;1;8;0;2;1;2;0.18;0.2121;0.51;0.0896;3;214;217
241;11/01/2011;1;0;1;9;0;2;1;2;0.18;0.197;0.51;0.1642;3;127;130
242;11/01/2011;1;0;1;10;0;2;1;2;0.2;0.2121;0.51;0.1642;3;51;54
243;11/01/2011;1;0;1;11;0;2;1;2;0.2;0.2121;0.47;0.1343;4;31;35
244;11/01/2011;1;0;1;12;0;2;1;2;0.2;0.2273;0.51;0.1045;2;55;57
245;11/01/2011;1;0;1;13;0;2;1;2;0.2;0.2273;0.59;0.0896;6;46;52
246;11/01/2011;1;0;1;14;0;2;1;2;0.2;0.2273;0.59;0.0896;3;60;63
247;11/01/2011;1;0;1;15;0;2;1;2;0.16;0.197;0.8;0.0896;2;45;47
248;11/01/2011;1;0;1;16;0;2;1;2;0.16;0.1515;0.86;0.2239;4;72;76
249;11/01/2011;1;0;1;17;0;2;1;2;0.16;0.1515;0.86;0.2239;6;130;136
250;11/01/2011;1;0;1;18;0;2;1;3;0.16;0.1818;0.93;0.1045;1;94;95
251;11/01/2011;1;0;1;19;0;2;1;3;0.16;0.2273;0.93;0;0;51;51
252;11/01/2011;1;0;1;20;0;2;1;3;0.16;0.1515;0.93;0.194;0;32;32
253;11/01/2011;1;0;1;21;0;2;1;3;0.16;0.197;0.86;0.0896;0;20;20
254;11/01/2011;1;0;1;22;0;2;1;3;0.16;0.1818;0.93;0.1045;1;28;29
255;11/01/2011;1;0;1;23;0;2;1;3;0.16;0.197;0.93;0.0896;1;18;19
256;12/01/2011;1;0;1;0;0;3;1;2;0.16;0.197;0.86;0.0896;0;7;7
257;12/01/2011;1;0;1;1;0;3;1;2;0.16;0.1818;0.86;0.1045;0;6;6
258;12/01/2011;1;0;1;2;0;3;1;1;0.14;0.1515;0.86;0.1343;0;1;1
259;12/01/2011;1;0;1;5;0;3;1;1;0.14;0.1515;0.86;0.1642;0;5;5
260;12/01/2011;1;0;1;6;0;3;1;1;0.12;0.1515;0.93;0.1343;0;16;16
261;12/01/2011;1;0;1;7;0;3;1;1;0.14;0.1515;0.69;0.1343;0;54;54
262;12/01/2011;1;0;1;8;0;3;1;1;0.16;0.1667;0.59;0.1642;3;125;128
263;12/01/2011;1;0;1;9;0;3;1;1;0.16;0.1364;0.59;0.3284;3;78;81
264;12/01/2011;1;0;1;10;0;3;1;1;0.18;0.1818;0.55;0.2239;0;39;39
265;12/01/2011;1;0;1;11;0;3;1;1;0.2;0.1818;0.51;0.3881;3;32;35
266;12/01/2011;1;0;1;12;0;3;1;1;0.2;0.1515;0.47;0.5821;3;52;55
267;12/01/2011;1;0;1;13;0;3;1;1;0.22;0.197;0.44;0.3582;0;49;49
268;12/01/2011;1;0;1;14;0;3;1;1;0.2;0.1818;0.47;0.3284;0;44;44
269;12/01/2011;1;0;1;15;0;3;1;1;0.2;0.1667;0.47;0.4179;1;48;49
270;12/01/2011;1;0;1;16;0;3;1;1;0.22;0.197;0.44;0.3284;5;63;68
271;12/01/2011;1;0;1;17;0;3;1;1;0.2;0.1818;0.47;0.3582;0;139;139
272;12/01/2011;1;0;1;18;0;3;1;1;0.2;0.1515;0.47;0.5224;2;135;137
273;12/01/2011;1;0;1;19;0;3;1;1;0.18;0.1515;0.47;0.4179;1;82;83
274;12/01/2011;1;0;1;20;0;3;1;1;0.16;0.1364;0.5;0.3284;2;54;56
275;12/01/2011;1;0;1;21;0;3;1;1;0.16;0.1364;0.55;0.3284;0;57;57
276;12/01/2011;1;0;1;22;0;3;1;1;0.16;0.1212;0.55;0.4478;1;32;33
277;12/01/2011;1;0;1;23;0;3;1;1;0.14;0.1061;0.59;0.4179;1;19;20
278;13/01/2011;1;0;1;0;0;4;1;1;0.14;0.1212;0.59;0.2836;1;6;7
279;13/01/2011;1;0;1;1;0;4;1;1;0.14;0.1212;0.5;0.2836;0;2;2
280;13/01/2011;1;0;1;2;0;4;1;1;0.14;0.1212;0.5;0.3582;0;2;2
281;13/01/2011;1;0;1;3;0;4;1;1;0.14;0.1212;0.5;0.3284;0;3;3
282;13/01/2011;1;0;1;4;0;4;1;1;0.14;0.1212;0.5;0.2537;0;4;4
283;13/01/2011;1;0;1;5;0;4;1;1;0.14;0.1212;0.5;0.2985;0;3;3
284;13/01/2011;1;0;1;6;0;4;1;1;0.12;0.1515;0.54;0.1343;0;28;28
